Hour,Day,Month,State_of_Charge
22,22,12,10.0
23,22,12,10.0
24,22,12,10.0
1,23,12,10.0
2,23,12,10.0
3,23,12,10.0
4,23,12,10.0
5,23,12,10.0
6,23,12,10.0
7,23,12,10.0
8,23,12,10.0
9,23,12,100.0
10,23,12,190.0
11,23,12,190.0
12,23,12,190.0
13,23,12,190.0
14,23,12,190.0
15,23,12,190.0
16,23,12,190.0
17,23,12,100.0
18,23,12,10.0
19,23,12,10.0
20,23,12,10.0
21,23,12,10.0
22,23,12,10.0
23,23,12,10.0
24,23,12,10.0
1,24,12,10.0
2,24,12,10.0
3,24,12,10.0
4,24,12,10.0
5,24,12,10.0
6,24,12,10.0
7,24,12,10.0
8,24,12,10.0
9,24,12,100.0
10,24,12,100.0
11,24,12,190.0
12,24,12,190.0
13,24,12,190.0
14,24,12,190.0
15,24,12,190.0
16,24,12,190.0
17,24,12,100.0
18,24,12,10.0
19,24,12,10.0
20,24,12,10.0
21,24,12,10.0
22,24,12,10.0
23,24,12,10.0
24,24,12,10.0
1,25,12,10.0
2,25,12,10.0
3,25,12,10.0
4,25,12,10.0
5,25,12,10.0
6,25,12,10.0
7,25,12,10.0
8,25,12,10.0
9,25,12,100.0
10,25,12,190.0
11,25,12,190.0
12,25,12,190.0
13,25,12,190.0
14,25,12,190.0
15,25,12,190.0
16,25,12,190.0
17,25,12,100.0
18,25,12,10.0
19,25,12,10.0
20,25,12,10.0
21,25,12,10.0
22,25,12,10.0
23,25,12,10.0
24,25,12,10.0
1,26,12,10.0
2,26,12,10.0
3,26,12,10.0
4,26,12,10.0
5,26,12,10.0
6,26,12,10.0
7,26,12,10.0
8,26,12,10.0
9,26,12,100.0
10,26,12,180.0
11,26,12,180.0
12,26,12,180.0
13,26,12,180.0
14,26,12,180.0
15,26,12,180.0
16,26,12,180.0
17,26,12,90.0
18,26,12,0.0
19,26,12,0.0
20,26,12,0.0
21,26,12,0.0
22,26,12,0.0
23,26,12,0.0
24,26,12,10.0
1,27,12,10.0
2,27,12,10.0
3,27,12,10.0
4,27,12,10.0
5,27,12,10.0
6,27,12,10.0
7,27,12,10.0
8,27,12,10.0
9,27,12,100.0
10,27,12,190.0
11,27,12,190.0
12,27,12,190.0
13,27,12,190.0
14,27,12,190.0
15,27,12,190.0
16,27,12,190.0
17,27,12,100.0
18,27,12,10.0
19,27,12,10.0
20,27,12,10.0
21,27,12,10.0
22,27,12,10.0
23,27,12,10.0
24,27,12,10.0
1,28,12,10.0
2,28,12,10.0
3,28,12,10.0
4,28,12,10.0
5,28,12,10.0
6,28,12,10.0
7,28,12,10.0
8,28,12,0.0
9,28,12,90.0
10,28,12,90.0
11,28,12,90.0
12,28,12,90.0
13,28,12,90.0
14,28,12,90.0
15,28,12,90.0
16,28,12,90.0
17,28,12,90.0
18,28,12,10.0
19,28,12,10.0
20,28,12,10.0
21,28,12,10.0
22,28,12,10.0
23,28,12,10.0
24,28,12,10.0
1,29,12,10.0
2,29,12,10.0
3,29,12,10.0
4,29,12,10.0
5,29,12,10.0
6,29,12,10.0
7,29,12,10.0
8,29,12,10.0
9,29,12,100.0
10,29,12,100.0
11,29,12,100.0
12,29,12,100.0
13,29,12,100.0
